"7",950000,"90-11-21","Stockholm","","Sweden","Sweden",71,185,2009,2,53,"L","Rodin","Anton","RW","VAN",3,0,1,0,1,1,1,0.3,0,40,1604,26.7,8.92,8.91,"19.10%","100.00%","14.30%","1","1143","2.24","0","100.00%",1,"2.24",5,5,3,2,2,2,0.1,0,0,0,"0",33.5,38.2,"0",0,0,2,"-2",1,1,2,1,1,2,1,"4.30%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,23,10,15,7,11,0.7,0.5,3,2,1,0,1,0,1,0,2,0,16,13,1,12,3,4,0,1,0,0.1,0.1,113.46,1,0,"89.8",0.6,0.18
"23",925000,"96-05-01","Calgary","AB","Canada","Sweden",72,190,2014,1,8,"R","Nylander","William","C/RW","TOR",81,22,39,23,16,61,-3,7.2,32,1766,77820,1291.4,15.92,15.96,"28.50%","82.40%","9.10%","0.928","1019","3.44","2.04","62.70%",30,"1.39",361,363,284,204,205,205,19.7,67,6,21,"27",31.8,29,"391.4",25,25,NA,"#VALUE!",81,30,59,16,30,59,16,"1.50%",49,73,49,73,"40.20%","10.40%",9,11,15,29,25,33,19,24,21,21,24,48,0,1,2,1,0,0,1,0,1,6,1,0,13,0,5,13,63,8,1,11,77,12,2,94,16,6,16,6,-10,-6.6,16,0,0,0,0,1527,1091,1162,841,810,610,82.8,50.4,305,170,74,44,42,25,74,56,116,81,546,630,418,585,210,189,75,78,5.7,1.1,6.8,3233.56,73,5.3,"121.6",61,0.75
"29",792500,"94-03-23","Boden","","Sweden","Sweden",75,209,2012,3,81,"R","Sundqvist","Oskar","C","PIT",10,0,0,0,0,0,-4,-1.7,2,138,5504,91.6,9.17,9.17,"16.70%","0.00%","5.90%","0.844","903","1.31","4.59","22.20%",-5,"-3.28",10,10,9,9,9,9,0.6,3,0,0,"0",31.9,31.5,"0",13,13,15,"-2",0,2,1,2,2,1,2,"2.10%",16,28,16,28,"36.40%","62.90%",5,12,7,8,4,8,5,11,3,3,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,5,1,1,1,1,0,0,1,0,0,0,0,71,97,49,66,34,45,2.5,4.3,10,15,2,7,1,2,6,6,7,8,29,41,64,47,15,4,3,4,-0.3,-0.1,-0.4,456.16,17,14,"110.1",-0.9,-0.09
"40",4500000,"86-08-01","Tibro","","Sweden","Sweden",71,190,2005,7,216,"R","Stralman","Anton","D","T.B",73,5,17,8,9,22,1,1.8,20,1963,100304,1664.1,22.9,22.87,"38.30%","32.40%","8.80%","0.908","997","2.45","2.85","46.30%",-11,"-0.4",257,257,183,130,130,130,6.2,9,6,4,"10",48.9,44,"146.9",106,106,78,"28",53,27,26,96,27,26,96,"6.30%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,9,43,7,0,40,5,2,0,76,10,10,10,9,0,9.9,10,0,0,0,0,1441,1524,1101,1182,770,861,68.3,68.3,223,192,68,79,56,50,71,82,127,132,831,919,600,568,209,187,83,96,0.9,3.9,4.8,2678.66,222,13.2,"106.9",32.1,0.44
"46",925000,"94-09-22","Stockholm","","Sweden","Sweden",74,196,2013,1,14,"L","Wennberg","Alex","C","CBJ",80,13,46,27,19,59,9,3.6,21,1893,88212,1468.8,18.38,18.37,"31.20%","68.60%","10.40%","0.929","1033","3.51","1.8","66.20%",42,"1.72",186,186,135,109,109,109,10.7,36,10,11,"21",30.8,28.8,"412.4",58,58,81,"-23",26,31,44,56,31,44,56,"4.80%",609,676,609,676,"47.40%","86.40%",148,169,211,235,250,272,160,206,211,219,368,407,0,4,5,0,0,0,2,1,1,0,2,0,7,1,0,1,24,7,1,6,24,4,0,67,9,15,9,16,6,7.4,8,1,0,0,0,1481,1164,1112,873,824,617,78.3,54.2,275,173,86,44,68,44,54,38,122,82,711,776,342,361,162,178,47,86,4,1.9,5.9,3239.72,136,12.8,"108",54.1,0.68
"53",2500000,"94-12-02","Boden","","Sweden","Sweden",73,192,2013,1,5,"R","Lindholm","Elias","C/RW","CAR",72,11,34,29,5,45,-2,2.8,16,1743,78543,1289.7,18.18,18.09,"30.50%","69.20%","9.60%","0.899","995","3.02","2.56","54.20%",10,"0.47",268,272,216,149,151,151,19.2,80,16,9,"25",27.3,24.8,"598.3",99,98,98,"0",69,37,57,43,36,54,43,"4.00%",353,282,346,280,"55.60%","49.90%",122,106,86,51,145,125,97,68,110,99,225,189,0,3,0,1,0,0,0,0,0,4,0,0,7,0,0,5,64,7,5,7,49,13,0,70,8,15,8,11,7,5.8,8,0,0,0,0,1367,1085,1007,800,677,547,72.9,56.3,257,208,65,55,69,44,61,61,130,105,713,542,382,437,202,228,56,57,2.5,1.6,4.1,2944,158,19.5,"114.1",49.7,0.7
"55",792500,"95-03-14","Molnlycke","","Sweden","Sweden",72,201,2013,6,180,"L","Blidh","Anton","LW","BOS",19,1,1,1,0,2,-2,5.3,7,237,10006,166.6,8.78,8.78,"17.80%","66.70%","3.40%","0.922","956","1.08","1.8","37.50%",-2,"-0.72",47,47,37,26,26,26,2.8,10,3,3,"6",31.7,30.9,"54.2",41,41,16,"25",11,4,4,4,4,4,4,"3.00%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,9,2,0,1,4,5,0,14,2,5,2,4,3,2,1,1,0,0,0,167,133,125,95,87,64,7,5.6,23,19,3,5,7,4,11,4,18,8,71,71,107,100,15,27,12,10,-0.1,0.1,0,767.24,53,45,"108.1",5.8,0.3
"57",4750000,"85-10-12","Malm_","","Sweden","Sweden",75,210,2004,2,49,"L","Soderberg","Carl","C/LW","COL",80,6,8,4,4,14,-26,-13.1,22,1472,64537,1073.1,13.45,13.44,"24.20%","48.30%","6.20%","0.894","957","1.62","3.3","33.00%",-30,"-1.68",210,210,170,126,128,128,10.2,32,7,9,"16",32.5,30.4,"97.8",34,34,77,"-43",44,19,30,42,19,30,42,"4.30%",365,337,365,337,"52.00%","72.60%",131,134,133,118,101,85,109,83,135,135,223,199,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2,5,37,16,0,2,8,7,1,94,11,17,10,12,6,5,11,0,0,0,0,891,966,658,723,467,559,35.5,40.8,100,134,29,59,22,41,35,37,57,78,510,457,398,343,114,110,78,62,-0.8,0.4,-0.4,3353.28,98,5.8,"103.8",11.7,0.15
"94",3575000,"89-03-17","Vasteras","","Sweden","Sweden",73,199,2007,1,24,"L","Backlund","Mikael","C","CGY",81,22,31,21,10,53,9,5.6,36,1914,85565,1424.4,17.6,17.6,"29.60%","67.10%","10.20%","0.896","997","3.33","2.82","54.10%",12,"0.51",338,338,272,197,197,197,20.4,73,18,31,"49",29.6,28.3,"315.7",55,55,38,"17",75,49,57,41,49,57,41,"3.30%",711,768,711,768,"48.10%","95.90%",310,381,229,226,172,161,212,255,262,246,420,475,2,4,7,0,0,0,2,0,1,1,4,0,14,1,5,11,58,17,4,18,27,15,1,115,14,9,12,6,-5,-6.1,13,0,0,0,1,1427,1226,1079,917,778,643,70.9,66.4,224,238,79,67,57,45,87,63,144,108,737,806,337,339,219,182,99,84,4.1,2.1,6.2,3392.51,132,8.6,"111.8",61.5,0.76
"124",575000,"90-07-03","Vasteras","","Sweden","Sweden",75,205,NA,NA,NA,"L","Rasmussen","Dennis","C","CHI",68,4,4,4,0,8,-4,1.3,12,1256,48254,803.8,11.83,11.83,"21.70%","44.40%","5.30%","0.927","981","1.34","2.39","36.00%",-14,"-1.05",114,114,91,77,77,77,6.3,21,4,9,"13",29.8,26,"144.5",61,61,122,"-61",14,19,25,49,19,25,49,"5.70%",165,205,165,205,"44.60%","44.80%",63,96,57,53,45,56,49,67,49,62,119,130,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,3,11,11,1,3,4,5,2,51,6,13,6,9,7,-0.2,6,0,0,0,0,615,860,442,586,338,440,25.8,36.5,80,134,18,32,20,28,36,38,56,66,390,435,255,423,132,85,40,33,-0.9,0.6,-0.4,2908.9,122,14.3,"110.1",11.7,0.17
"126",3e+06,"90-05-24","Borlange","","Sweden","Sweden",76,215,2009,4,102,"L","Ekholm","Mattias","D","NSH",82,3,20,6,14,23,4,6.4,34,2330,115415,1915.7,23.45,23.42,"39.50%","32.90%","7.50%","0.921","996","2.19","2.32","48.60%",-4,"-0.13",284,284,188,120,120,120,7.5,16,11,7,"18",47.3,42.9,"149.6",61,61,131,"-70",68,66,38,108,66,38,108,"6.30%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,7,58,11,2,47,12,0,2,46,17,12,17,10,-5,4.3,17,0,0,0,0,1749,1723,1315,1326,938,941,80.6,81.4,247,252,70,74,67,49,88,76,155,125,1012,964,600,629,243,226,99,122,0.5,4.1,4.6,2932.08,203,5.8,"108.7",38.3,0.47
"156",9e+05,"96-10-31","Stockholm","","Sweden","Sweden",73,184,2015,2,45,"R","Forsbacka Karlsson","Jakob","C","BOS",1,0,0,0,0,0,0,0.4,0,13,505,8.4,8.42,8.42,"16.00%","0.00%","0.00%","1","1000","0","0","0.00%",0,"0",0,0,0,0,0,0,0,0,0,0,"0",0,NA,"0",0,0,0,"0",0,0,0,1,0,0,1,"20.00%",1,1,1,1,"50.00%","66.70%",1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,3,3,2,0.4,0,2,0,0,0,0,0,1,0,1,0,1,2,7,2,0,1,0,2,0,0,0,44.24,1,0,"85.5",0.2,0.15
"160",1850000,"90-07-18","Lycksele","","Sweden","Sweden",72,180,NA,NA,NA,"R","Karlsson","Melker","C/RW","S.J",67,11,11,5,6,22,7,1.4,22,1337,51459,855.9,12.8,12.79,"23.40%","78.60%","8.50%","0.922","1006","1.96","2.24","46.70%",-4,"-0.28",133,132,105,73,73,73,9.2,38,6,9,"15",25.1,22.2,"129.4",67,67,106,"-39",32,23,17,59,23,17,59,"6.90%",1,5,1,5,"16.70%","0.80%",0,0,0,2,1,3,1,0,0,5,0,3,0,1,1,0,1,1,1,2,1,0,3,0,4,0,0,1,31,6,5,6,4,7,0,45,11,16,10,16,5,3.9,11,0,0,0,0,702,852,502,584,331,408,26.9,39.8,81,143,28,32,17,33,36,32,53,65,357,425,318,366,152,107,47,55,1.2,1.4,2.6,2795.11,148,7.6,"108.9",25.9,0.39
"167",7e+06,"90-05-31","Landsbro","","Sweden","Sweden",72,191,2008,1,15,"R","Karlsson","Erik","D","OTT",77,17,54,25,29,71,10,7,28,2425,123989,2054.1,26.83,26.78,"44.30%","66.40%","9.50%","0.918","1013","3.13","2.37","56.90%",26,"0.76",506,464,337,218,218,218,13.1,21,11,27,"38",48.5,44.9,"409.3",67,67,84,"-17",119,106,59,201,106,59,201,"10.60%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0,0,4,2,0,0,11,3,5,17,94,5,0,81,35,3,0,94,14,22,14,16,8,13,14,0,0,0,0,2093,1894,1572,1382,1127,987,99,87.4,309,284,107,81,102,72,105,100,207,172,1083,987,751,635,346,226,108,132,7.2,5.7,12.9,2586.45,296,9,"116.5",73.6,0.96
"171",4e+06,"93-03-01","Leksand","","Sweden","Sweden",74,200,2011,2,42,"L","Rask","Victor","C","CAR",82,16,29,11,18,45,-10,-2.8,16,1863,85088,1398.4,17.3,17.22,"29.70%","67.20%","8.50%","0.906","991","2.87","2.66","51.90%",5,"0.21",307,310,233,185,186,186,15.9,53,16,20,"36",36.9,32.6,"193.4",43,42,91,"-49",48,46,41,33,46,41,33,"2.70%",457,461,455,457,"49.80%","70.40%",89,136,175,154,193,171,113,136,169,145,273,292,0,3,3,1,0,0,0,1,1,7,0,0,7,1,2,2,43,12,4,24,59,3,0,84,7,9,7,9,2,6.1,7,0,0,0,0,1445,1210,1083,929,789,660,74.3,61.3,245,218,67,62,59,57,70,66,129,123,665,630,354,480,246,239,58,72,2.7,1.4,4.2,3312.9,92,12,"113.9",45.1,0.56
"186",9e+05,"92-02-08","Stockholm","","Sweden","Sweden",75,215,2010,2,41,"L","Nemeth","Patrik","D","DAL",40,0,3,2,1,3,-4,2.5,14,839,37869,630.2,15.78,15.77,"29.00%","15.80%","6.10%","0.911","972","1.81","2.86","38.80%",-11,"-1.05",91,91,61,46,46,46,2.5,5,3,3,"6",42.1,38,"61.1",45,45,51,"-6",15,18,10,47,18,10,47,"7.30%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,11,7,0,0,24,7,4,7,4,-3,-1.1,7,0,0,0,0,567,640,425,466,311,336,26.1,29.7,82,99,19,30,24,21,23,23,47,44,300,314,208,216,90,80,35,41,-0.5,0.8,0.3,1541.11,106,7.9,"114.9",6.6,0.16
"187",1050000,"91-04-24","Sundsvall","","Sweden","Sweden",72,184,2009,2,40,"L","Lander","Anton","C/LW/RW","EDM",22,1,3,1,2,4,2,-0.4,6,351,12902,214.9,9.77,9.77,"17.40%","44.40%","10.10%","0.9","1001","2.51","3.07","45.00%",-2,"-0.56",21,21,17,12,12,12,0.9,3,2,2,"4",34,32.1,"18.5",28,28,13,"15",5,4,8,7,4,8,7,"3.30%",79,62,79,62,"56.00%","56.60%",49,44,15,8,15,10,22,20,21,17,52,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,1,3,1,0,6,3,0,2,0,-3,-2,3,0,0,0,0,139,211,108,157,89,110,6.7,11.6,27,41,9,11,5,10,13,7,18,17,131,118,138,81,25,19,10,4,0,0.3,0.3,1020.35,41,12,"97.7",4,0.18
"197",4250000,"89-09-01","Halmstad","","Sweden","Sweden",71,184,2008,4,121,"L","Nyquist","Gustav","RW/C/LW","DET",76,12,36,22,14,48,0,4.2,18,1675,79502,1299.3,17.42,17.32,"30.30%","70.60%","9.50%","0.911","1006","3.14","2.36","57.10%",17,"0.79",288,292,226,163,165,165,18.9,86,10,15,"25",27.4,26.5,"348.9",54,54,71,"-17",63,35,32,20,35,32,20,"2.00%",4,1,4,1,"80.00%","0.40%",1,0,2,0,1,1,0,0,2,1,2,1,0,3,2,0,0,0,2,1,1,3,0,0,5,1,2,11,49,18,2,5,35,12,2,91,9,16,8,15,7,7.5,9,0,0,0,0,1316,1011,995,796,714,574,72.5,47.8,268,156,68,51,38,21,63,57,101,78,638,614,336,446,197,126,73,89,2.9,1.7,4.7,2985.52,92,9.6,"107.5",46.5,0.62
"205",925000,"96-09-13","Kramfors","","Sweden","Sweden",74,202,2014,1,29,"L","Kempe","Adrian","LW/C","L.A",25,2,4,3,1,6,-3,0.5,6,433,18346,305.6,12.23,12.23,"22.20%","60.00%","6.60%","0.92","986","1.96","1.77","52.60%",1,"0.2",61,61,44,32,32,32,2.7,10,1,3,"4",33.8,34.5,"14.8",23,23,14,"9",12,10,5,7,10,5,7,"3.10%",67,86,67,86,"43.80%","56.50%",23,26,12,27,32,33,18,25,13,20,49,60,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,11,3,1,3,5,0,0,20,3,5,3,5,2,3.2,3,0,0,0,0,301,228,217,166,151,112,13.7,10.7,53,44,10,9,16,6,8,21,24,27,126,145,164,169,45,17,13,21,0,0.3,0.4,1072.21,36,9.3,"103.9",10.4,0.41
"228",925000,"97-01-02","Orebro","","Sweden","Sweden",76,191,2015,1,29,"L","Carlsson","Gabriel","D","CBJ",2,0,1,0,1,1,-2,0.3,0,46,2055,34.3,17.13,17.13,"33.50%","50.00%","10.00%","0.692","792","3.5","7.01","33.30%",-2,"-3.5",6,6,4,3,3,3,0.1,0,0,0,"0",60.3,59.5,"0",5,5,3,"2",1,0,0,2,0,0,2,"7.10%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,34,28,28,18,20,13,2.2,0.8,6,2,2,4,2,0,1,4,3,4,14,15,16,16,4,2,3,2,0.1,-0.1,0,68.02,7,0,"108.6",0.7,0.34
"234",832500,"95-02-09","Klagenfurt","","AUT","Sweden",75,205,2013,1,23,"L","Burakovsky","Andre","LW/C","WSH",64,12,23,9,14,35,13,0,14,1054,50931,848,13.27,13.26,"24.90%","79.50%","9.30%","0.937","1030","3.11","1.63","65.70%",21,"1.49",222,222,145,111,111,111,10.7,36,7,20,"27",30.4,28.5,"208.3",31,31,79,"-48",34,33,33,25,33,33,25,"3.70%",2,5,2,5,"28.60%","1.00%",0,0,0,0,2,5,1,1,0,3,2,2,0,6,1,0,0,0,0,0,0,2,1,0,9,0,3,4,27,3,1,5,18,3,0,81,7,5,8,5,-2,-1.7,7,0,0,0,0,958,668,654,521,471,363,39.3,33.4,126,108,44,23,24,38,49,42,73,80,353,363,268,331,141,118,50,47,2.8,1.4,4.1,2552.27,70,9.1,"115.1",41.6,0.65
"254",3e+06,"94-01-20","Helsingborg","","Sweden","Sweden",75,205,2012,1,6,"L","Lindholm","Hampus","D","ANA",66,6,14,5,9,20,13,17.8,36,1786,88900,1476.8,22.45,22.42,"37.50%","32.30%","8.30%","0.926","1009","2.52","1.95","56.40%",14,"0.57",203,203,132,94,94,94,6.3,11,4,6,"10",48.5,38.6,"117",98,98,119,"-21",38,63,18,94,63,18,94,"7.30%",2,0,2,0,"100.00%","0.10%",0,0,1,0,1,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,1,2,1,0,2,0,4,1,33,1,0,33,12,1,1,46,18,12,18,10,-6,1.2,18,0,0,0,0,1410,1288,1046,970,746,647,76,65.7,271,221,62,48,60,47,75,70,135,117,751,672,690,522,227,126,88,91,1.1,4.5,5.6,2465.56,228,6.4,"109.6",33.3,0.5
